clone,build,package,packagetests,symbols,clobber
87,2599,22,13,689,48
91,2611,23,12,689,48
91,2617,23,12,690,46
95,2637,22,11,691,47
94,2637,22,12,687,47
95,2637,23,12,690,47
96,2640,22,14,688,47
93,2636,23,13,693,47
95,2631,22,12,691,47
94,2580,22,12,695,47
94,2584,21,12,690,47
95,2582,22,13,695,47
96,2588,22,13,685,47
95,2579,22,12,688,48
95,2581,22,13,694,47
95,2586,21,12,692,47
95,2604,21,13,686,47
95,2582,22,13,690,46
94,2585,23,13,689,47
93,2582,21,13,687,47
94,2584,22,12,689,47
96,2585,22,13,687,47
94,2583,22,12,689,46
95,2581,22,13,693,47
94,2580,21,12,692,47
92,2577,22,12,693,47
93,2579,22,12,698,46
92,2581,23,12,696,47
92,2577,23,12,693,47
96,2597,22,11,687,47
94,2593,23,12,689,46
99,2589,22,13,685,47
95,2580,23,12,690,46
94,2583,22,13,692,47
95,2582,22,12,693,47
94,2582,21,13,688,47
95,2588,21,12,689,47
95,2585,22,13,689,47
95,2584,21,14,693,47
96,2584,22,12,685,47
94,2579,22,13,689,47
95,2584,22,12,703,47
95,2581,21,14,686,47
94,2585,21,12,695,47
94,2580,21,14,685,47
95,2581,22,12,697,47
93,2577,22,14,692,47
94,2578,22,11,696,47
94,2580,22,11,697,47
92,2577,23,12,690,47
93,2579,24,11,696,47
93,2577,22,13,697,47
93,2582,22,12,685,47
96,2596,23,13,695,47
95,2600,22,14,691,47
100,2590,22,12,689,48
94,2582,22,13,691,47
96,2589,22,12,687,47
95,2584,22,13,685,47
97,2587,22,13,685,47
96,2586,23,12,690,46
95,2585,22,13,692,46
95,2587,22,12,690,47
95,2589,21,14,691,47
95,2585,21,12,691,48
95,2586,22,13,693,48
95,2585,22,12,695,47
95,2582,22,13,700,47
95,2581,22,12,706,47
95,2582,22,14,707,47
96,2584,22,13,705,47
95,2595,22,13,713,47
93,2581,22,11,708,47
92,2582,22,12,712,47
94,2583,22,12,707,47
94,2586,22,12,712,48
93,2582,22,12,710,48
92,2582,22,13,708,59
95,2581,22,13,709,48
95,2607,22,11,713,47
95,2598,23,13,709,47
95,2599,22,12,709,47
97,2594,22,12,709,48
95,2589,22,13,704,47
97,2590,23,12,707,47
96,2594,22,13,702,47
96,2593,21,14,710,48
96,2592,22,13,706,47
96,2591,22,13,704,48
95,2591,22,12,707,48
96,2595,21,14,704,48
95,2596,22,13,703,48
96,2592,23,14,708,47
96,2588,21,14,706,48
95,2593,22,12,710,48
93,2592,22,14,708,47
95,2597,22,14,706,48
95,2598,22,13,705,48
95,2595,23,13,701,48
96,2600,22,14,708,47
94,2597,23,14,704,46
95,2596,22,14,713,47
93,2595,22,12,715,48
94,2595,22,13,710,48
93,2597,22,11,711,48
93,2602,22,13,712,47
93,2596,23,12,716,48
93,2599,22,13,738,48
92,2605,22,13,710,57
97,2627,23,11,714,47
94,2622,22,12,708,47
95,2626,23,11,713,47
95,2627,23,13,711,48
96,2617,22,11,703,48
